model,term,estimate,std_error,p_value,sig
Poisson QMLE robust-SE (raw outcome),const,-22.7093,1.8492,0.0,***
Poisson QMLE robust-SE (raw outcome),log_creator_reach,1.6005,0.0499,0.0,***
Poisson QMLE robust-SE (raw outcome),log_creator_activity,0.4244,0.1579,0.0072,**
Poisson QMLE robust-SE (raw outcome),audience_youthfulness,0.6695,1.6932,0.6925,
Poisson QMLE robust-SE (raw outcome),video_duration,-0.0016,0.0078,0.8365,
Poisson QMLE robust-SE (raw outcome),headline_length,0.0026,0.0056,0.6467,
Poisson QMLE robust-SE (raw outcome),hashtag_count,0.1417,0.0721,0.0494,*
Poisson QMLE robust-SE (raw outcome),emotional_intensity,0.538,0.1088,0.0,***
Poisson QMLE robust-SE (raw outcome),visual_realism,0.3835,0.1471,0.0091,**
Poisson QMLE robust-SE (raw outcome),av_coherence,0.2426,0.1145,0.0341,*
Poisson QMLE robust-SE (raw outcome),account_topic_focus,5.1233,0.5703,0.0,***
Poisson QMLE robust-SE (raw outcome),publication_age,0.0175,0.0043,0.0,***
Poisson QMLE robust-SE (raw outcome),topic_category_2,0.3833,0.3713,0.302,
Poisson QMLE robust-SE (raw outcome),topic_category_3,-0.0753,0.4216,0.8583,
Poisson QMLE robust-SE (raw outcome),topic_category_4,0.0825,0.367,0.8222,
