creator_reach,account_topic_focus,emotional_intensity,video_duration,n_cases,raw_consistency,PRI,outcome
0,0,0,1,24,0.966,0.92,1
0,0,0,0,22,0.954,0.892,1
0,0,1,1,22,0.919,0.803,1
0,0,1,0,25,0.897,0.741,1
0,1,0,1,28,0.866,0.667,0
1,0,0,1,24,0.844,0.581,0
0,1,0,0,19,0.842,0.543,0
1,0,1,1,27,0.785,0.399,0
0,1,1,1,29,0.764,0.439,0
0,1,1,0,25,0.756,0.352,0
1,0,1,0,22,0.748,0.288,0
1,1,0,1,18,0.748,0.318,0
1,0,0,0,28,0.724,0.298,0
1,1,0,0,31,0.648,0.142,0
1,1,1,1,22,0.634,0.14,0
1,1,1,0,22,0.596,0.075,0
