creator_reach,account_topic_focus,emotional_intensity,video_duration,n_cases,raw_consistency,PRI,outcome
1,1,1,0,22,0.967,0.925,1
1,1,0,0,31,0.941,0.855,1
1,1,1,1,22,0.94,0.858,1
1,0,1,0,22,0.894,0.702,1
1,1,0,1,18,0.881,0.678,0
1,0,0,0,28,0.876,0.684,0
0,1,1,0,25,0.858,0.623,0
1,0,1,1,27,0.851,0.584,0
0,1,0,0,19,0.809,0.448,0
0,1,1,1,29,0.795,0.513,0
1,0,0,1,24,0.769,0.38,0
0,1,0,1,28,0.71,0.281,0
0,0,1,0,25,0.688,0.215,0
0,0,1,1,22,0.663,0.181,0
0,0,0,0,22,0.621,0.107,0
0,0,0,1,24,0.61,0.075,0
