video_id,platform,creator_reach,creator_activity,audience_youthfulness,topic_category,video_duration,headline_length,hashtag_count,emotional_intensity,visual_realism,av_coherence,account_topic_focus,publication_age,engagement
V0001,tiktok,2189,364,0.736,2,74.4,22,5,1.0,5.87,5.32,0.213,7,1
V0002,shorts,4529,275,0.466,3,58.5,35,3,5.73,2.26,2.12,0.147,107,7
V0003,tiktok,7661,32,0.724,3,29.9,17,9,4.87,3.18,5.04,0.425,117,82
V0004,tiktok,273642,83,0.706,3,27.3,39,6,3.23,5.08,3.74,0.43,92,1254
V0005,tiktok,50678,36,0.756,4,56.5,62,6,2.94,6.27,5.35,0.075,100,68
V0006,shorts,10304,575,0.605,4,117.7,52,2,5.97,3.47,3.56,0.467,12,8
V0007,shorts,6605,140,0.555,1,13.7,49,4,2.59,5.07,5.13,0.733,102,697
V0008,tiktok,47755,68,0.675,3,86.7,23,5,5.32,2.83,3.98,0.618,68,533
V0009,shorts,21399,64,0.625,2,58.2,34,4,5.88,5.03,7.0,0.436,110,596
V0010,tiktok,49226,155,0.73,2,18.2,43,5,5.05,6.38,6.79,0.316,85,366
V0011,shorts,118866,70,0.474,4,68.8,56,5,4.05,3.95,3.98,0.185,4,79
V0012,shorts,1612,421,0.559,2,74.1,107,3,4.99,3.73,3.67,0.782,17,73
V0013,shorts,172,36,0.496,2,8.0,36,2,3.85,6.02,4.11,0.763,44,65
V0014,shorts,9516,26,0.343,1,108.7,72,3,5.59,5.23,5.48,0.645,114,212
V0015,tiktok,11419,369,0.638,3,27.3,26,2,3.13,5.62,3.35,0.261,63,35
V0016,shorts,16584,59,0.514,4,84.7,28,4,6.65,5.86,3.71,0.11,28,42
V0017,tiktok,3368,372,0.678,3,20.0,8,5,5.18,4.2,4.09,0.252,31,13
V0018,tiktok,6511,217,0.592,3,32.0,34,2,3.85,5.63,5.18,0.319,80,147
V0019,tiktok,27058,23,0.687,1,71.6,74,6,5.69,6.68,5.17,0.595,62,3637
V0020,tiktok,29810,49,0.749,2,26.8,50,1,5.54,3.85,4.61,0.747,44,379
V0021,tiktok,108636,95,0.623,2,40.4,78,3,3.6,5.49,4.51,0.383,64,948
V0022,tiktok,200,72,0.735,3,34.6,40,7,2.53,3.79,5.29,0.507,115,4
V0023,shorts,509,122,0.383,1,37.0,74,3,2.28,6.21,5.73,0.111,89,11
