"DEV","URB","LIT","IND","STB","OUT","n","incl","PRI","cases"
0,0,0,0,0,"0",3,"0.215976331360947","0","GR,PT,ES"
0,0,0,0,1,"0",2,"0.278026905829596","0","IT,RO"
0,0,0,1,0,"?",0,"-","-",""
0,0,0,1,1,"?",0,"-","-",""
0,0,1,0,0,"0",2,"0.520900321543409","0.113095238095238","HU,PL"
0,0,1,0,1,"0",1,"0.528571428571429","0.228070175438597","EE"
0,0,1,1,0,"?",0,"-","-",""
0,0,1,1,1,"?",0,"-","-",""
0,1,0,0,0,"?",0,"-","-",""
0,1,0,0,1,"?",0,"-","-",""
0,1,0,1,0,"?",0,"-","-",""
0,1,0,1,1,"?",0,"-","-",""
0,1,1,0,0,"?",0,"-","-",""
0,1,1,0,1,"?",0,"-","-",""
0,1,1,1,0,"?",0,"-","-",""
0,1,1,1,1,"?",0,"-","-",""
1,0,0,0,0,"?",0,"-","-",""
1,0,0,0,1,"?",0,"-","-",""
1,0,0,1,0,"?",0,"-","-",""
1,0,0,1,1,"?",0,"-","-",""
1,0,1,0,0,"?",0,"-","-",""
1,0,1,0,1,"1",2,"0.804270462633452","0.719387755102041","FI,IE"
1,0,1,1,0,"0",1,"0.378205128205128","0.0396039603960395","AU"
1,0,1,1,1,"0",2,"0.708771929824562","0.634361233480176","FR,SE"
1,1,0,0,0,"?",0,"-","-",""
1,1,0,0,1,"?",0,"-","-",""
1,1,0,1,0,"?",0,"-","-",""
1,1,0,1,1,"?",0,"-","-",""
1,1,1,0,0,"?",0,"-","-",""
1,1,1,0,1,"?",0,"-","-",""
1,1,1,1,0,"0",1,"0.445255474452555","0.0499999999999999","DE"
1,1,1,1,1,"1",4,"0.904205607476635","0.885793871866295","BE,CZ,NL,UK"
