"creator_reach","account_topic_focus","emotional_intensity","video_duration","OUT","n","incl","PRI","cases"
0,0,0,0,"0",22,"0.620987677574976","0.106837272455167","18,23,56,70,78,83,87,120,152,167,182,183,189,220,267,289,295,311,345,348,354,364"
0,0,0,1,"0",24,"0.610202343377881","0.075274140309392","1,30,74,98,108,117,135,144,150,157,165,184,208,210,221,241,266,275,305,306,337,360,361,383"
0,0,1,0,"0",25,"0.687965943200206","0.215030207766423","3,17,40,46,58,81,93,94,119,212,224,245,249,257,271,273,278,279,291,296,303,308,379,384,386"
0,0,1,1,"0",22,"0.662718393584876","0.181048706804218","2,69,88,90,106,109,128,147,163,169,171,172,180,225,255,286,302,323,324,328,365,388"
0,1,0,0,"0",19,"0.809355200290205","0.44842967488014","7,13,22,32,51,111,115,122,173,229,232,280,332,333,343,351,357,370,380"
0,1,0,1,"0",28,"0.710171948885326","0.281172907190758","44,84,133,138,160,168,179,186,202,207,213,215,218,242,252,270,281,292,297,318,329,335,344,350,353,356,363,387"
0,1,1,0,"0",25,"0.85806572457299","0.622692599344465","28,41,63,75,79,82,95,99,146,185,193,203,206,226,237,256,262,276,287,300,304,322,331,358,374"
0,1,1,1,"0",29,"0.794988422890862","0.512960197575698","6,12,14,27,31,39,42,54,66,68,77,86,89,123,126,127,134,158,181,188,190,214,234,235,243,258,274,282,315"
1,0,0,0,"0",28,"0.875982798603998","0.684076491676023","4,15,21,25,52,65,97,101,112,118,131,153,156,170,187,217,222,228,230,231,239,244,284,285,310,321,336,341"
1,0,0,1,"0",24,"0.768648905800153","0.379570091934504","5,38,45,55,64,72,80,114,132,140,178,191,195,196,200,260,294,309,327,342,368,376,381,385"
1,0,1,0,"1",22,"0.894468359231093","0.701568868930815","10,43,48,110,124,129,143,145,151,174,197,201,209,216,227,264,277,288,307,325,359,375"
1,0,1,1,"0",27,"0.850684405660276","0.583575267529111","11,16,29,33,57,67,91,103,121,142,155,159,162,198,205,219,248,250,253,261,269,301,316,339,346,352,367"
1,1,0,0,"1",31,"0.940556152296535","0.855304635337939","24,34,35,47,73,76,100,113,125,130,137,148,149,161,164,175,176,194,199,238,240,254,259,272,283,290,298,312,330,366,377"
1,1,0,1,"0",18,"0.881083871192797","0.677894903852629","26,37,53,59,60,85,96,102,107,154,177,192,211,314,317,326,334,373"
1,1,1,0,"1",22,"0.967219348301156","0.924914852969408","20,50,62,71,104,116,136,139,236,246,247,251,263,268,299,313,319,340,347,355,372,382"
1,1,1,1,"1",22,"0.939576624453695","0.858053952158518","8,9,19,36,49,61,92,105,141,166,204,223,233,265,293,320,338,349,362,369,371,378"
